Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-04-04 16:09:01.054659+05:30 IST Asia/Kolkata,P-BTC-66200-040426,8,buy,0.00000000/8.00000000,,,153.56,0.008,0,,,market_order
2026-04-04 00:30:29.661875+05:30 IST Asia/Kolkata,P-BTC-66200-040426,31,sell,31.00000000/0.00000000,39.02258065,0.1,,0.031,0.04996061,1.2097,0,market_order
2026-04-04 16:04:00.372476+05:30 IST Asia/Kolkata,C-BTC-67400-040426,39,buy,39.00000000/0.00000000,1,1,,0.039,0.0016107,-0.039,1.131,limit_order
2026-04-04 16:04:00.422684+05:30 IST Asia/Kolkata,C-BTC-67400-040426,39,buy,0.00000000/39.00000000,,,120.88,0.039,0,,,market_order
2026-04-04 00:30:27.139763+05:30 IST Asia/Kolkata,C-BTC-67400-040426,39,sell,39.00000000/0.00000000,30,0.1,,0.039,0.048321,1.17,0,market_order
2026-04-02 13:17:11.931487+05:30 IST Asia/Kolkata,P-BTC-64800-020426,30,buy,30.00000000/0.00000000,1,1,,0.03,0.001239,-0.03,0.9,limit_order
2026-04-02 13:17:12.021631+05:30 IST Asia/Kolkata,P-BTC-64800-020426,30,buy,0.00000000/30.00000000,,,127.02,0.03,0,,,market_order
2026-04-02 00:30:07.067008+05:30 IST Asia/Kolkata,P-BTC-64800-020426,30,sell,30.00000000/0.00000000,31,0.1,,0.03,0.038409,0.93,0,market_order
2026-04-02 07:51:04.344471+05:30 IST Asia/Kolkata,C-BTC-70400-020426,25,buy,25.00000000/0.00000000,1,1,,0.025,0.0010325,-0.025,1,limit_order
2026-04-02 07:51:04.392619+05:30 IST Asia/Kolkata,C-BTC-70400-020426,25,buy,0.00000000/25.00000000,,,153.31,0.025,0,,,market_order
2026-04-02 00:30:04.753709+05:30 IST Asia/Kolkata,C-BTC-70400-020426,25,sell,25.00000000/0.00000000,41,0.1,,0.025,0.0423325,1.025,0,market_order
2026-04-01 10:55:45.140787+05:30 IST Asia/Kolkata,P-BTC-65600-010426,28,buy,28.00000000/0.00000000,1,1,,0.028,0.0011564,-0.028,0.896,limit_order
2026-04-01 10:55:45.237153+05:30 IST Asia/Kolkata,P-BTC-65600-010426,28,buy,0.00000000/28.00000000,,,136.21,0.028,0,,,market_order
2026-04-01 00:30:08.426920+05:30 IST Asia/Kolkata,P-BTC-65600-010426,28,sell,28.00000000/0.00000000,33,0.1,,0.028,0.0381612,0.924,0,market_order
2026-04-01 15:41:43.855320+05:30 IST Asia/Kolkata,C-BTC-70000-010426,26,buy,26.00000000/0.00000000,1,1,,0.026,0.0010738,-0.026,0.936,limit_order
2026-04-01 15:41:43.951020+05:30 IST Asia/Kolkata,C-BTC-70000-010426,26,buy,0.00000000/26.00000000,,,143.01,0.026,0,,,market_order
2026-04-01 00:30:06.365800+05:30 IST Asia/Kolkata,C-BTC-70000-010426,26,sell,26.00000000/0.00000000,37,0.1,,0.026,0.0397306,0.962,0,market_order
