Date,True_Net_PnL_After_Fees,net pnl
2025-09-28 00:00:00,1.9184738,0.9592369
2025-09-29 00:00:00,-2.2456524,-1.1228262
2025-09-30 00:00:00,1.9169457,0.95847285
2025-10-01 00:00:00,-2.2507736,-1.1253868
2025-10-02 00:00:00,-2.2459002,-1.1229501
2025-10-03 00:00:00,1.9158719,0.95793595
2025-10-04 00:00:00,1.9162436,0.9581218
2025-10-05 00:00:00,-2.2475522,-1.1237761
2025-10-06 00:00:00,1.9170696,0.9585348
2025-10-07 00:00:00,1.9148807,0.95744035
2025-10-08 00:00:00,1.9161197,0.95805985
2025-10-09 00:00:00,1.9152524,0.9576262
2025-10-10 00:00:00,-2.246561,-1.1232805
2025-10-11 00:00:00,-2.135484815,-1.067742408
2025-10-12 00:00:00,-2.2490803,-1.12454015
2025-10-13 00:00:00,1.9154176,0.9577088
2025-10-14 00:00:00,-2.245735,-1.1228675
2025-10-15 00:00:00,1.9147568,0.9573784
2025-10-16 00:00:00,1.9151285,0.95756425
2025-10-17 00:00:00,-2.163655734,-1.081827867
2025-10-18 00:00:00,1.9176065,0.95880325
2025-10-19 00:00:00,-2.144399668,-1.072199834
2025-10-20 00:00:00,-6.314325037,-3.157162519
2025-10-21 00:00:00,-2.249039,-1.1245195
2025-10-22 00:00:00,-2.2492042,-1.1246021
2025-10-23 00:00:00,1.9157893,0.95789465
2025-10-24 00:00:00,1.9141373,0.95706865
2025-10-25 00:00:00,1.915748,0.957874
2025-10-26 00:00:00,-2.253169,-1.1265845
2025-10-27 00:00:00,-2.243112049,-1.121556024
2025-10-28 00:00:00,1.9179782,0.9589891
2025-10-29 00:00:00,-2.2536233,-1.12681165
2025-10-30 00:00:00,1.9162849,0.95814245
2025-10-31 00:00:00,1.915748,0.957874
2025-11-01 00:00:00,1.9155002,0.9577501
2025-11-02 00:00:00,1.91527305,0.957636525
2025-11-03 00:00:00,1.9159958,0.9579979
2025-11-04 00:00:00,-2.2467675,-1.12338375
2025-11-05 00:00:00,1.9140547,0.95702735
2025-11-06 00:00:00,1.9150046,0.9575023
2025-11-07 00:00:00,1.9163675,0.95818375
2025-11-08 00:00:00,1.915335,0.9576675
2025-11-09 00:00:00,1.9133526,0.9566763
2025-11-10 00:00:00,-2.171352874,-1.085676437
2025-11-11 00:00:00,-2.2492455,-1.12462275
2025-11-12 00:00:00,1.9200432,0.9600216
2025-11-13 00:00:00,1.9125266,0.9562633
2025-11-14 00:00:00,1.9154176,0.9577088
2025-11-15 00:00:00,1.9176478,0.9588239
2025-11-16 00:00:00,1.914922,0.957461
2025-11-17 00:00:00,1.9155415,0.95777075
2025-11-18 00:00:00,-2.159357454,-1.079678727
2025-11-19 00:00:00,-2.215654015,-1.107827008
